902	1800
-21.241385	-31.343681	115.879762
44.066679	-29.640370	114.885390
-29.718110	46.582675	119.744054
-67.782461	-10.059141	108.661764
-27.079563	-78.468707	103.081502
90.830442	-36.810956	108.274234
57.732289	69.798741	108.408023
-62.398053	81.534256	98.368663
-95.828854	20.034518	91.667150
-98.944122	-14.453775	75.853781
-65.295468	-67.162495	83.628191
-20.695430	-98.476525	93.622782
30.147392	-92.388029	98.867672
116.938173	-19.323469	76.710466
103.280824	48.812461	78.054785
26.513392	101.828222	79.496204
-46.733091	114.390438	64.394548
-90.221803	79.138908	76.766993
-112.813761	41.748431	66.135869
-121.910127	12.287444	48.461079
-102.475737	-40.962081	52.476242
-67.007830	-84.328773	62.188264
-18.343367	-112.015738	68.924985
25.913268	-115.966333	60.120880
100.690742	-76.129140	82.296385
135.980907	-3.100677	37.196482
119.204243	58.040735	45.047993
89.508338	98.508218	34.516665
21.597430	124.139691	39.959506
-48.746284	131.763555	35.497702
-82.961789	111.074845	50.105968
-100.099596	90.648214	38.351196
-125.076948	56.753577	30.260157
-132.708013	31.579439	19.048772
-121.171139	-14.480946	37.739722
-91.629263	-66.524365	45.935100
-57.921390	-99.427716	37.628134
-1.853303	-117.865565	26.158097
32.128088	-120.118033	24.957185
89.523002	-97.875312	45.716949
132.206548	-58.933063	50.436675
135.664611	-20.839700	6.994272
131.484929	44.909620	-7.150277
91.617305	89.496425	-16.000347
49.824865	119.153935	-20.892473
6.637110	138.630532	-9.243311
-35.190415	143.103084	5.323314
-68.367909	132.192326	2.991233
-86.113211	116.809433	0.891369
-111.609500	80.643267	1.494599
-129.954472	31.645448	-15.544496
-133.861699	23.572668	-6.347469
-130.469746	4.756670	1.660413
-105.457644	-47.867934	21.424254
-74.299906	-87.351517	30.730834
-36.527364	-109.149109	10.680412
-1.099671	-115.359231	9.787853
23.204718	-118.309055	11.877445
57.543799	-104.360429	4.907837
111.535696	-72.280628	7.931060
132.248634	-39.416032	-7.695180
129.885243	0.642983	-25.659716
97.729792	36.413049	-51.879450
47.410059	72.471152	-57.453485
21.938057	106.995586	-51.604852
-16.964142	141.439807	-22.407885
-41.824789	130.935743	-33.022316
-88.390188	91.105160	-24.394753
-119.770083	59.046787	-25.645351
-128.391641	12.075054	-25.389041
-116.887645	-10.839227	-31.963335
-92.376167	-56.431807	-6.385117
-61.710623	-91.003743	-2.874164
-4.674554	-108.010599	-13.073818
29.747919	-100.728037	-33.211714
75.238298	-83.001739	-22.983323
115.484930	-36.042582	-32.648869
108.477979	-4.866037	-54.090269
61.929237	33.204543	-74.556230
20.272880	74.727126	-70.634878
-15.101996	111.494124	-55.116995
-31.607354	83.661174	-61.821576
-93.258847	50.986127	-54.669618
-110.714025	6.741064	-52.016692
-88.426562	-19.309135	-62.642764
-69.927686	-54.819266	-46.443656
-34.673117	-88.609125	-40.855745
31.423346	-88.390537	-49.520067
78.424262	-64.424312	-49.375805
68.519883	-15.371265	-88.263002
42.224646	20.799685	-86.474684
-0.240564	73.026375	-67.432919
-49.680607	53.111959	-74.639974
-83.673157	9.253511	-78.216456
-52.126324	-24.045027	-94.434585
-18.667088	-66.839664	-77.416727
39.484726	-58.058067	-72.049488
41.066762	-29.070394	-89.651439
20.378143	12.893859	-80.716881
-47.988874	5.753286	-92.910992
-7.387599	-46.283485	-91.433712
12.706872	-13.364544	-81.081885
1.447115	-5.070984	119.431672
-42.093284	4.125782	118.721913
-41.902259	-44.342259	110.748390
-0.219875	-55.779319	111.353672
75.831654	2.320421	114.144816
33.279819	39.205442	117.945005
